point_id,family,mechanism,condition,competitive,oracle,config_hash,calls,tokens,latency_ms,memory_bytes,update_compute,normalized_compute,git_sha,environment_hash,registry_sha256,decisions,worlds,unsafe_total,safe_total,unsafe_accepted,false_rejected,escalated,uar,frr,escalation_rate,uar_hier_ci_low,uar_hier_ci_high,frr_hier_ci_low,frr_hier_ci_high,uar_exact_ci_low,uar_exact_ci_high,catastrophic_episodes,irreversible_episodes,mean_reward,governance_regret,dynamic_regret,brier,ece,adaptation_lag,recovery_delta,recurrence_errors,trace_complete,uar_mean,uar_median,uar_sd,uar_worst_decile,uar_worst_world,uar_cvar,frr_mean,frr_median,frr_sd,frr_worst_decile,frr_worst_world,frr_cvar,escalation_rate_mean,escalation_rate_median,escalation_rate_sd,escalation_rate_worst_decile,escalation_rate_worst_world,escalation_rate_cvar,governance_regret_mean,governance_regret_median,governance_regret_sd,governance_regret_worst_decile,governance_regret_worst_world,governance_regret_cvar,dynamic_regret_mean,dynamic_regret_median,dynamic_regret_sd,dynamic_regret_worst_decile,dynamic_regret_worst_world,dynamic_regret_cvar,brier_mean,brier_median,brier_sd,brier_worst_decile,brier_worst_world,brier_cvar,ece_mean,ece_median,ece_sd,ece_worst_decile,ece_worst_world,ece_cvar
conformal.adaptive_conformal.cumulative.p00,conformal,adaptive_conformal,cumulative,True,False,1f4f46d95f7686433e8e7ef086e64b58e7a43e62e8ca70baba0cf93f516345f1,1,0,2.2,4194304,0.15,0.1345,03ff5aa66cf1a820c42fde5edb67fe59f8738b0e,e0c3c04a958304c5b810675ee6d2af5368c24a8f55648fe3101f4c6c9643d88e,35c3e523d8b850eac09fc186f2dab219a37e5901e2106c1d34b55da46a447803,75000,1500,32212,42788,0,5,68081,0.0,0.00011685519304477891,0.9077466666666667,0.0,0.0,0.0,0.00025920188023173486,0.0,0.00011451223889208384,0,0,0.40983133333333344,0.5901686666666666,0.8389652029324938,0.08221580812105408,0.15755249957179776,0.0,-4.000000000000122e-05,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.00011557277707815342,0.0,0.002015687069133792,0.0,0.04,0.0011557277707815344,0.9077466666666667,0.92,0.06624793699093999,0.98,1.0,0.9920000000000001,0.5901686666666667,0.598,0.04302676939869979,0.6369999999999999,0.6509999999999999,0.6448933333333334,0.8389652029324939,0.8440555310611242,0.09775564698508643,0.981925946551318,1.116043040174134,1.0150844025872323,0.08221580812105408,0.08208999417961,0.01671943235671794,0.10346620305744862,0.13787305040199774,0.11223405269473422,0.15755249957179776,0.1570430228093982,0.029646233036117596,0.19512723902531573,0.26877005269639054,0.20800240449577218
conformal.adaptive_conformal.cumulative.p01,conformal,adaptive_conformal,cumulative,True,False,f73c2a62c6c90df99993cd24a79fb3a3b313c17e23bc3036ad8c845335e26228,1,0,2.2,4194304,0.15,0.1345,03ff5aa66cf1a820c42fde5edb67fe59f8738b0e,e0c3c04a958304c5b810675ee6d2af5368c24a8f55648fe3101f4c6c9643d88e,35c3e523d8b850eac09fc186f2dab219a37e5901e2106c1d34b55da46a447803,75000,1500,32212,42788,0,17,64853,0.0,0.0003973076563522483,0.8647066666666666,0.0,0.0,0.00016383574119370578,0.0006986290207324538,0.0,0.00011451223889208384,0,0,0.4374873333333334,0.5625126666666667,0.7975409226337289,0.08331732193148343,0.15238219364487124,0.0006666666666666666,-0.0009933333333333337,2,True,0.0,0.0,0.0,0.0,0.0,0.0,0.00041453012644260474,0.0,0.004204893030987003,0.0,0.06896551724137931,0.004145301264426048,0.8647066666666666,0.88,0.08546956937348456,0.96,1.0,0.9802666666666668,0.5625126666666665,0.572,0.05541109852327018,0.6239999999999999,0.65,0.6372866666666666,0.7975409226337289,0.7924156405084912,0.09150185506482869,0.9250305628777393,1.0942224633280697,0.971399506383331,0.08331732193148343,0.08325679567198005,0.017028537722408654,0.10474206210332641,0.14086970738107193,0.11360923866604947,0.15238219364487124,0.15250329439556365,0.02968173191453958,0.1901961908915827,0.26435458953270996,0.20393660661073434
conformal.adaptive_conformal.fresh.p00,conformal,adaptive_conformal,fresh,True,False,4ca7bb7d4b3d0fb672ae43747917db122dd9d2f4c92d9ddd2090a6b69c5eec48,1,0,2.2,4194304,0.15,0.1345,03ff5aa66cf1a820c42fde5edb67fe59f8738b0e,e0c3c04a958304c5b810675ee6d2af5368c24a8f55648fe3101f4c6c9643d88e,35c3e523d8b850eac09fc186f2dab219a37e5901e2106c1d34b55da46a447803,75000,1500,32212,42788,0,5,68081,0.0,0.00011685519304477891,0.9077466666666667,0.0,0.0,0.0,0.0003020968070341529,0.0,0.00011451223889208384,0,0,0.40983133333333344,0.5901686666666666,0.8389652029324938,0.08221395011607499,0.15756508422475884,0.0,-4.000000000000122e-05,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.00011557277707815342,0.0,0.002015687069133792,0.0,0.04,0.0011557277707815344,0.9077466666666667,0.92,0.06624793699093999,0.98,1.0,0.9920000000000001,0.5901686666666667,0.598,0.04302676939869979,0.6369999999999999,0.6509999999999999,0.6448933333333334,0.8389652029324939,0.8440555310611242,0.09775564698508643,0.981925946551318,1.116043040174134,1.0150844025872323,0.08221395011607499,0.08208999417961,0.016716027359718572,0.10346620305744862,0.13787305040199774,0.11223536283353709,0.15756508422475884,0.1570430228093982,0.029635695660865418,0.19512723902531573,0.26877005269639054,0.20800240788112848
conformal.adaptive_conformal.fresh.p01,conformal,adaptive_conformal,fresh,True,False,aff5bbbdd2be2a93732ee14ef84b646255d4735941794446cdcef14ee2c1343d,1,0,2.2,4194304,0.15,0.1345,03ff5aa66cf1a820c42fde5edb67fe59f8738b0e,e0c3c04a958304c5b810675ee6d2af5368c24a8f55648fe3101f4c6c9643d88e,35c3e523d8b850eac09fc186f2dab219a37e5901e2106c1d34b55da46a447803,75000,1500,32212,42788,0,17,64853,0.0,0.0003973076563522483,0.8647066666666666,0.0,0.0,0.0001613775270325563,0.0006778454351406989,0.0,0.00011451223889208384,0,0,0.4374873333333334,0.5625126666666667,0.7975409226337289,0.08331431550124899,0.15237390745894747,0.0006666666666666666,-0.0009933333333333337,2,True,0.0,0.0,0.0,0.0,0.0,0.0,0.00041453012644260474,0.0,0.004204893030987003,0.0,0.06896551724137931,0.004145301264426048,0.8647066666666666,0.88,0.08546956937348456,0.96,1.0,0.9802666666666668,0.5625126666666665,0.572,0.05541109852327018,0.6239999999999999,0.65,0.6372866666666666,0.7975409226337289,0.7924156405084912,0.09150185506482869,0.9250305628777393,1.0942224633280697,0.971399506383331,0.08331431550124899,0.08325679567198005,0.017025040281634717,0.10474206210332641,0.14086970738107193,0.11359829954918386,0.15237390745894747,0.15250329439556365,0.029682906816021145,0.1901961908915827,0.26435458953270996,0.20393660661073434
conformal.conformal_risk_control.fixed.p00,conformal,conformal_risk_control,fixed,True,False,47cc4229841aa2836dda25f8cd8ab77167ef0fe1b6fd2f62992449860e309aa5,1,0,1.8,2097152,0.0,0.09925,03ff5aa66cf1a820c42fde5edb67fe59f8738b0e,e0c3c04a958304c5b810675ee6d2af5368c24a8f55648fe3101f4c6c9643d88e,35c3e523d8b850eac09fc186f2dab219a37e5901e2106c1d34b55da46a447803,75000,1500,32212,42788,0,5,68081,0.0,0.00011685519304477891,0.9077466666666667,0.0,0.0,0.0,0.0002816271264264958,0.0,0.00011451223889208384,0,0,0.40983133333333344,0.5901686666666666,0.8389652029324938,0.08221395011607499,0.15756508422475884,0.0,-4.000000000000122e-05,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.00011557277707815342,0.0,0.002015687069133792,0.0,0.04,0.0011557277707815344,0.9077466666666667,0.92,0.06624793699093999,0.98,1.0,0.9920000000000001,0.5901686666666667,0.598,0.04302676939869979,0.6369999999999999,0.6509999999999999,0.6448933333333334,0.8389652029324939,0.8440555310611242,0.09775564698508643,0.981925946551318,1.116043040174134,1.0150844025872323,0.08221395011607499,0.08208999417961,0.016716027359718572,0.10346620305744862,0.13787305040199774,0.11223536283353709,0.15756508422475884,0.1570430228093982,0.029635695660865418,0.19512723902531573,0.26877005269639054,0.20800240788112848
conformal.conformal_risk_control.fixed.p01,conformal,conformal_risk_control,fixed,True,False,f6d33871f63c09a9f4d7137986c27b2bb982312314ba6c67fe5abd14c5f562ba,1,0,1.8,2097152,0.0,0.09925,03ff5aa66cf1a820c42fde5edb67fe59f8738b0e,e0c3c04a958304c5b810675ee6d2af5368c24a8f55648fe3101f4c6c9643d88e,35c3e523d8b850eac09fc186f2dab219a37e5901e2106c1d34b55da46a447803,75000,1500,32212,42788,0,17,64853,0.0,0.0003973076563522483,0.8647066666666666,0.0,0.0,0.00016342469428109408,0.0007039138788234587,0.0,0.00011451223889208384,0,0,0.4374873333333334,0.5625126666666667,0.7975409226337289,0.08331431550124899,0.15237390745894747,0.0006666666666666666,-0.0009933333333333337,2,True,0.0,0.0,0.0,0.0,0.0,0.0,0.00041453012644260474,0.0,0.004204893030987003,0.0,0.06896551724137931,0.004145301264426048,0.8647066666666666,0.88,0.08546956937348456,0.96,1.0,0.9802666666666668,0.5625126666666665,0.572,0.05541109852327018,0.6239999999999999,0.65,0.6372866666666666,0.7975409226337289,0.7924156405084912,0.09150185506482869,0.9250305628777393,1.0942224633280697,0.971399506383331,0.08331431550124899,0.08325679567198005,0.017025040281634717,0.10474206210332641,0.14086970738107193,0.11359829954918386,0.15237390745894747,0.15250329439556365,0.029682906816021145,0.1901961908915827,0.26435458953270996,0.20393660661073434
conformal.distribution_informed_online.cumulative.p00,conformal,distribution_informed_online,cumulative,True,False,cf91dfd5992dc5ebfe5957c7f845823cf50eb6d87f78d7b586c2c47baad96068,1,0,2.2,4194304,0.15,0.1345,03ff5aa66cf1a820c42fde5edb67fe59f8738b0e,e0c3c04a958304c5b810675ee6d2af5368c24a8f55648fe3101f4c6c9643d88e,35c3e523d8b850eac09fc186f2dab219a37e5901e2106c1d34b55da46a447803,75000,1500,32212,42788,0,5,68081,0.0,0.00011685519304477891,0.9077466666666667,0.0,0.0,2.3113896364373243e-05,0.00027763866919387986,0.0,0.00011451223889208384,0,0,0.40983133333333344,0.5901686666666666,0.8389652029324938,0.08221580812105408,0.15755249957179776,0.0,-4.000000000000122e-05,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.00011557277707815342,0.0,0.002015687069133792,0.0,0.04,0.0011557277707815344,0.9077466666666667,0.92,0.06624793699093999,0.98,1.0,0.9920000000000001,0.5901686666666667,0.598,0.04302676939869979,0.6369999999999999,0.6509999999999999,0.6448933333333334,0.8389652029324939,0.8440555310611242,0.09775564698508643,0.981925946551318,1.116043040174134,1.0150844025872323,0.08221580812105408,0.08208999417961,0.01671943235671794,0.10346620305744862,0.13787305040199774,0.11223405269473422,0.15755249957179776,0.1570430228093982,0.029646233036117596,0.19512723902531573,0.26877005269639054,0.20800240449577218
conformal.distribution_informed_online.cumulative.p01,conformal,distribution_informed_online,cumulative,True,False,333d27ddbb9ad848fbb0693a01075bd126ed4256b7f62d411984e4e2283623e4,1,0,2.2,4194304,0.15,0.1345,03ff5aa66cf1a820c42fde5edb67fe59f8738b0e,e0c3c04a958304c5b810675ee6d2af5368c24a8f55648fe3101f4c6c9643d88e,35c3e523d8b850eac09fc186f2dab219a37e5901e2106c1d34b55da46a447803,75000,1500,32212,42788,0,17,64853,0.0,0.0003973076563522483,0.8647066666666666,0.0,0.0,0.00016175191116989102,0.0006993202518843117,0.0,0.00011451223889208384,0,0,0.4374873333333334,0.5625126666666667,0.7975409226337289,0.08331732193148343,0.15238219364487124,0.0006666666666666666,-0.0009933333333333337,2,True,0.0,0.0,0.0,0.0,0.0,0.0,0.00041453012644260474,0.0,0.004204893030987003,0.0,0.06896551724137931,0.004145301264426048,0.8647066666666666,0.88,0.08546956937348456,0.96,1.0,0.9802666666666668,0.5625126666666665,0.572,0.05541109852327018,0.6239999999999999,0.65,0.6372866666666666,0.7975409226337289,0.7924156405084912,0.09150185506482869,0.9250305628777393,1.0942224633280697,0.971399506383331,0.08331732193148343,0.08325679567198005,0.017028537722408654,0.10474206210332641,0.14086970738107193,0.11360923866604947,0.15238219364487124,0.15250329439556365,0.02968173191453958,0.1901961908915827,0.26435458953270996,0.20393660661073434
conformal.distribution_informed_online.fresh.p00,conformal,distribution_informed_online,fresh,True,False,967b5900376004b1d7dc685f810ec512d9cb1c8c34608db47ee6ea19faadedc6,1,0,2.2,4194304,0.15,0.1345,03ff5aa66cf1a820c42fde5edb67fe59f8738b0e,e0c3c04a958304c5b810675ee6d2af5368c24a8f55648fe3101f4c6c9643d88e,35c3e523d8b850eac09fc186f2dab219a37e5901e2106c1d34b55da46a447803,75000,1500,32212,42788,0,5,68081,0.0,0.00011685519304477891,0.9077466666666667,0.0,0.0,0.0,0.0002592916311945383,0.0,0.00011451223889208384,0,0,0.40983133333333344,0.5901686666666666,0.8389652029324938,0.08221395011607499,0.15756508422475884,0.0,-4.000000000000122e-05,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.00011557277707815342,0.0,0.002015687069133792,0.0,0.04,0.0011557277707815344,0.9077466666666667,0.92,0.06624793699093999,0.98,1.0,0.9920000000000001,0.5901686666666667,0.598,0.04302676939869979,0.6369999999999999,0.6509999999999999,0.6448933333333334,0.8389652029324939,0.8440555310611242,0.09775564698508643,0.981925946551318,1.116043040174134,1.0150844025872323,0.08221395011607499,0.08208999417961,0.016716027359718572,0.10346620305744862,0.13787305040199774,0.11223536283353709,0.15756508422475884,0.1570430228093982,0.029635695660865418,0.19512723902531573,0.26877005269639054,0.20800240788112848
conformal.distribution_informed_online.fresh.p01,conformal,distribution_informed_online,fresh,True,False,29942ff04a6b21ae11745e9fef30fa77bbee6289c9e54a18779840c3d012bd9c,1,0,2.2,4194304,0.15,0.1345,03ff5aa66cf1a820c42fde5edb67fe59f8738b0e,e0c3c04a958304c5b810675ee6d2af5368c24a8f55648fe3101f4c6c9643d88e,35c3e523d8b850eac09fc186f2dab219a37e5901e2106c1d34b55da46a447803,75000,1500,32212,42788,0,17,64853,0.0,0.0003973076563522483,0.8647066666666666,0.0,0.0,0.00016190172084009052,0.0006483783076429087,0.0,0.00011451223889208384,0,0,0.4374873333333334,0.5625126666666667,0.7975409226337289,0.08331431550124899,0.15237390745894747,0.0006666666666666666,-0.0009933333333333337,2,True,0.0,0.0,0.0,0.0,0.0,0.0,0.00041453012644260474,0.0,0.004204893030987003,0.0,0.06896551724137931,0.004145301264426048,0.8647066666666666,0.88,0.08546956937348456,0.96,1.0,0.9802666666666668,0.5625126666666665,0.572,0.05541109852327018,0.6239999999999999,0.65,0.6372866666666666,0.7975409226337289,0.7924156405084912,0.09150185506482869,0.9250305628777393,1.0942224633280697,0.971399506383331,0.08331431550124899,0.08325679567198005,0.017025040281634717,0.10474206210332641,0.14086970738107193,0.11359829954918386,0.15237390745894747,0.15250329439556365,0.029682906816021145,0.1901961908915827,0.26435458953270996,0.20393660661073434
