effect_type,factor_1,factor_2,condition,generation,effect
main,meta_diagnostics,,cumulative,1,0.011210853412810029
main,synthesis,,cumulative,1,0.0
main,retained_replay,,cumulative,1,0.0
main,counterfactual_validation,,cumulative,1,0.005287521593596356
main,certification,,cumulative,1,-0.0029646996399932957
main,configuration_library,,cumulative,1,-0.011475317443412791
aliased_two_factor_exploratory,meta_diagnostics,synthesis,cumulative,1,0.0
aliased_two_factor_exploratory,meta_diagnostics,retained_replay,cumulative,1,0.0
aliased_two_factor_exploratory,meta_diagnostics,counterfactual_validation,cumulative,1,-0.004506692683973523
aliased_two_factor_exploratory,meta_diagnostics,certification,cumulative,1,0.0035286420628277693
aliased_two_factor_exploratory,meta_diagnostics,configuration_library,cumulative,1,0.00813365629051127
aliased_two_factor_exploratory,synthesis,retained_replay,cumulative,1,0.0035286420628277693
aliased_two_factor_exploratory,synthesis,counterfactual_validation,cumulative,1,0.0
aliased_two_factor_exploratory,synthesis,certification,cumulative,1,0.0
aliased_two_factor_exploratory,synthesis,configuration_library,cumulative,1,0.0
aliased_two_factor_exploratory,retained_replay,counterfactual_validation,cumulative,1,0.0
aliased_two_factor_exploratory,retained_replay,certification,cumulative,1,0.0
aliased_two_factor_exploratory,retained_replay,configuration_library,cumulative,1,0.0
aliased_two_factor_exploratory,counterfactual_validation,certification,cumulative,1,0.00813365629051127
aliased_two_factor_exploratory,counterfactual_validation,configuration_library,cumulative,1,0.0035286420628277693
aliased_two_factor_exploratory,certification,configuration_library,cumulative,1,-0.004506692683973523
main,meta_diagnostics,,cumulative,2,0.0062422373684499766
main,synthesis,,cumulative,2,0.0
main,retained_replay,,cumulative,2,0.0
main,counterfactual_validation,,cumulative,2,0.0035052995785904706
main,certification,,cumulative,2,-0.0013387078796477936
main,configuration_library,,cumulative,2,-0.01060345851078881
aliased_two_factor_exploratory,meta_diagnostics,synthesis,cumulative,2,0.0
aliased_two_factor_exploratory,meta_diagnostics,retained_replay,cumulative,2,0.0
