result_type,identifier,value
nonpositive_ablation_contribution,A0-g1,0.0
nonpositive_ablation_contribution,A0-g2,0.0
nonpositive_ablation_contribution,A0-g3,0.0
nonpositive_ablation_contribution,A11-g1,-0.0018200000000000438
nonpositive_ablation_contribution,A11-g2,-0.0025707017543860067
nonpositive_ablation_contribution,A11-g3,-0.002785823705605428
nonpositive_ablation_contribution,A12-g1,0.0
nonpositive_ablation_contribution,A12-g2,0.0
nonpositive_ablation_contribution,A12-g3,0.0
nonpositive_ablation_contribution,A13-g1,0.0
nonpositive_ablation_contribution,A13-g2,0.0
nonpositive_ablation_contribution,A13-g3,0.0
nonpositive_ablation_contribution,A15-g1,0.0
nonpositive_ablation_contribution,A15-g2,0.0
nonpositive_ablation_contribution,A15-g3,0.0
nonpositive_ablation_contribution,A16-g2,-0.045799384170549184
nonpositive_ablation_contribution,A16-g3,-0.07527578315958738
nonpositive_ablation_contribution,A26-g2,-0.0030485130403808958
nonpositive_ablation_contribution,A28-g1,-0.0007443853967337155
nonpositive_ablation_contribution,A28-g2,-0.008875638985753831
nonpositive_ablation_contribution,A28-g3,-5.5226915116834974e-05
nonpositive_ablation_contribution,A29-g1,0.0
nonpositive_ablation_contribution,A29-g2,0.0
nonpositive_ablation_contribution,A29-g3,0.0
nonpositive_ablation_contribution,A30-g1,0.0
nonpositive_ablation_contribution,A30-g2,0.0
nonpositive_ablation_contribution,A30-g3,0.0
nonpositive_ablation_contribution,A31-g1,0.0
nonpositive_ablation_contribution,A31-g2,0.0
nonpositive_ablation_contribution,A31-g3,0.0
nonpositive_ablation_contribution,A32-g2,-0.0009953363080460464
nonpositive_ablation_contribution,A33-g1,-0.2818407997002049
nonpositive_ablation_contribution,A33-g2,-0.31088976130582024
nonpositive_ablation_contribution,A33-g3,-0.33508978799713474
nonpositive_ablation_contribution,A34-g1,0.0
nonpositive_ablation_contribution,A35-g1,0.0
nonpositive_ablation_contribution,A35-g2,-0.0057401649221374695
nonpositive_ablation_contribution,A36-g1,0.0
nonpositive_ablation_contribution,A36-g2,-0.0057401649221374695
nonpositive_ablation_contribution,A37-g1,0.0
nonpositive_ablation_contribution,A37-g2,-0.0057401649221374695
nonpositive_ablation_contribution,A38-g1,0.0
nonpositive_ablation_contribution,A38-g2,0.0
nonpositive_ablation_contribution,A38-g3,0.0
nonpositive_ablation_contribution,A39-g1,0.0
nonpositive_ablation_contribution,A39-g2,0.0
nonpositive_ablation_contribution,A39-g3,0.0
