factor_1,factor_2,condition,generation,interaction,confirmatory,selection_magnitude_g1
counterfactual_validation,certification,cumulative,1,-0.000160000000000049,False,0.004066828145255622
counterfactual_validation,certification,cumulative,2,-0.00047999999999992493,True,0.004066828145255622
counterfactual_validation,certification,cumulative,3,-0.0005351219512194083,True,0.004066828145255622
counterfactual_validation,certification,fresh,1,-0.000160000000000049,False,0.004066828145255622
counterfactual_validation,certification,fresh,2,-0.0003733333333332256,True,0.004066828145255622
counterfactual_validation,certification,fresh,3,-0.0004817886178862807,True,0.004066828145255622
meta_diagnostics,configuration_library,cumulative,1,0.014084579967702515,False,0.004066828145255622
meta_diagnostics,configuration_library,cumulative,2,0.0013882168456280652,True,0.004066828145255622
meta_diagnostics,configuration_library,cumulative,3,0.003568282407756529,True,0.004066828145255622
meta_diagnostics,configuration_library,fresh,1,0.014084579967702515,False,0.004066828145255622
meta_diagnostics,configuration_library,fresh,2,0.010353202854650356,True,0.004066828145255622
meta_diagnostics,configuration_library,fresh,3,0.005987110395278883,True,0.004066828145255622
certification,configuration_library,cumulative,1,0.00021333333333339866,False,0.0022533463419867417
certification,configuration_library,cumulative,2,0.000588372319688113,True,0.0022533463419867417
certification,configuration_library,cumulative,3,0.0010133333333334216,True,0.0022533463419867417
certification,configuration_library,fresh,1,0.00021333333333339866,False,0.0022533463419867417
certification,configuration_library,fresh,2,0.0006950389863548123,True,0.0022533463419867417
certification,configuration_library,fresh,3,0.001175833333333376,True,0.0022533463419867417
meta_diagnostics,counterfactual_validation,cumulative,1,-0.01156945131460041,False,0.0022533463419867417
meta_diagnostics,counterfactual_validation,cumulative,2,-0.0011681877411421349,True,0.0022533463419867417
meta_diagnostics,counterfactual_validation,cumulative,3,-0.003793332694013607,True,0.0022533463419867417
meta_diagnostics,counterfactual_validation,fresh,1,-0.01156945131460041,False,0.0022533463419867417
meta_diagnostics,counterfactual_validation,fresh,2,-0.0033108926636108427,True,0.0022533463419867417
meta_diagnostics,counterfactual_validation,fresh,3,-0.004869941693204982,True,0.0022533463419867417
counterfactual_validation,configuration_library,cumulative,1,0.004821218179002162,False,0.001764321031413824
counterfactual_validation,configuration_library,cumulative,2,0.0034114099539183096,True,0.001764321031413824
counterfactual_validation,configuration_library,cumulative,3,0.0013779013943528984,True,0.001764321031413824
counterfactual_validation,configuration_library,fresh,1,0.004821218179002162,False,0.001764321031413824
counterfactual_validation,configuration_library,fresh,2,0.0039366643843455895,True,0.001764321031413824
counterfactual_validation,configuration_library,fresh,3,0.0027577457438165975,True,0.001764321031413824
